Türkçe ,İngilizce
a couple of,birkaç
a good deal,oldukça çok
a great deal of,"büyük, çok miktarda"
a great many,çok sayıda
a number of,birtakım
a series of,bir dizi
a variety of,çeşitli
ability,yetenek
abroad,yurtdışı
absence,"yokluk, var olmayış"
absolutely,"tamamen, kesinlikle"
absorb,"emmek, çekmek, yutmak"
abuse,istismar etmek
academic,akademisyen
acceleration,hızlanma
accept,"kabul etmek, kabullenmek"
acceptable,kabul edilebilir
accepted,kabul gören
access,"erişim, ulaşım, erişmek"
accident,kaza
accompany,eşlik etmek
accomplish,"başarmak, ulaşmak"
accomplished,başarılı
accomplishment,başarı
accordingly,benzer şekilde
account,"açıklama, ele alma, değerlendirme"
account for,açıklamak
accumulate,birikmek
accurate,doğru
accurately,"tam, doğru olarak"
accuse,suçlamak
achieve,başarmak
achievement,başarı
acid rain,asit yağmuru
acknowledge,kabullenmek
acquainted with,aşina
acquired,edinilmiş
act,davranmak / perde / yasa
act as,…olarak iş görmek
acting,rol yapma
action,eylem
activist,"aktivist, savunucu"
activity,faaliyet
actual,"asıl, gerçek"
actually,aslında
acute,"akut, şiddetli"
adapt,"uyum sağlamak, adapte olmak, uyarlamak"
add,eklemek
add to,katkıda bulunmak
added,ek
addicted,bağımlı
addiction,bağımlılık
addition,ekleme
adequate,"uygun, yeterli"
adherence,bağlılık
adjustment,ayarlama
administrative,yönetim
admire,"beğenmek, hayran olmak, hayranlık duymak, takdir etmek"
admirer,hayran
admit,"itiraf etmek, kabul etmek"
admit to hospital,hastaneye yatırmak
admittedly,kuşkusuz
adopt,"edinmek, benimsemek"
adopt a law,kanunu yürürlüğe sokmak
adore,taparcasına sevmek
adult,yetişkin
adulthood,yetişkinlik
advance,ilerleme
advanced,ileri
advantage,avantaj
adventure,macera
adventurous,maceracı
adverse,olumsuz
advice,tavsiye
advise,tavsiye etmek
advisory,danışma
advocate,savunucu
affair,"mesele, konu"
affect,etkilemek
affectation,gösteriş
afflict,dert açmak
afford,parası yetmek
afford value,kıymet görmek
affordable,"ekonomik, uygun fiyatlı, hesaplı"
afraid,korkmuş
afterward,ardından
against,e karşı
age,"çağ, dönem / yaş"
ageing,yaşlanma
ages,uzun süre
aggression,saldırganlık
aging,yaşlanma
agree to,kabul etmek
agreeable,"hoş, makbul"
agreement,uzlaşma
agricultural,"tarımsal, zirai"
agriculture,tarım
aid,"destek, yardım"
aim,"amaç, hedef, amaçlamak"
aim to,amaçlamak
air,havalandırmak
air bag,hava yastığı
air- breathing,hava emişli
air pressure,hava basıncı
aircraft,"hava aracı, uçak"
airfare,hava yolu seyahat masrafları
airline company,havayolu şirketi
airport,havaalanı
albatross,albatros
align,"uymak, uyuşmak"
alike,"aynı, benzer"
alive,"hayatta, canlı"
alkaline,"alkali, baz"
all along,en başından
allow,"fırsat tanımak, izin vermek"
allowance,harçlık
almost,neredeyse
almost no,neredeyse hiç
alone,"yalnız, tek başına"
along,boyunca
aloud,sesli
alter,değiştirmek
alternation,değiştirme
altogether,tamamen
amazing,şaşırtıcı
ambition,hırs
ambitious,hırslı
ammonia,amonyak
amount,miktar
amphitheatre,amfitiyatro
amuse,eğlendirmek
amusing,eğlenceli
analyze,"çözümlemek, incelemek"
Anatolia,Anadolu
anatomical,anatomik
ancestor,ata
ancient,"eski, antik"
angry,kızgın
animal,hayvan
animal- rights,hayvan hakları
animation,animasyon
announce,duyurmak
annoying,rahatsız edici
annual,yıllık
answer,"cevap, cevaplamak"
Antarctic,Antartika
anti,karşıt
antiquity,antik dönem
anxiety,kaygı
anxious,istekli
apart,"uzak, ayrı"
apologize,özür dilemek
